code,transcript,region,nafa,natural_area,municipal_status,metropolin,religion,total_pop_2017,jews_and_others,jews,arabs,foundation_year,locality_shape,organizational_belong,coordinates,altitude,planning_comitee,juristiction,year,name,gov_map_link
2052,AVITAL,2,23,234,8,,1,519,0.5,0.5,,1953,310,1,2291271816,72,204,10000911,2017,Avital,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2052
1070,AVI'EZER,1,11,112,26,444,1,883,0.9,0.9,,1958,310,2,2016662104,377,151,15000597,2017,Avi'ezer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1070
1220,ABBIRIM,2,24,244,52,,1,216,0.2,0.2,,1980,370,19,2271577149,561,255,10004484,2017,Abbirim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1220
182,EVEN YEHUDA,4,41,411,99,141,1,13704,13.7,13.5,,1932,170,,1894468643,36,457,15000060,2017,Even Yehuda,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=182
1081,EVEN MENAHEM,2,24,244,52,,1,286,0.3,0.3,,1960,310,1,2278277545,605,255,10004302,2017,Even Menahem,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1081
783,EVEN SAPPIR,1,11,111,26,444,1,728,0.7,0.7,,1950,310,1,2128463002,615,151,10002521,2017,Even Sappir,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=783
400,EVEN SHEMU'EL,6,61,612,34,,1,1941,1.9,1.9,,1956,350,,1775460940,155,631,10001813,2017,Even Shemu'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=400
4011,AVNE ETAN,2,29,294,71,,1,700,0.7,0.7,,1978,310,2,2719674774,381,219,10004579,2017,Avne Etan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4011
3793,AVNE HEFEZ,7,73,,72,,1,1836,1.8,1.8,,1990,370,11,2070868793,191,710,10003262,2017,Avne Hefez,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3793
3786,AVENAT,7,75,,74,,1,201,0.2,0.2,,1983,370,,2414762075,-341,713,10003314,2017,Avenat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3786
1311,AVSHALOM,6,62,622,38,,1,261,0.3,0.2,,1990,370,10,1361956745,91,651,10001893,2017,Avshalom,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1311
3759,ADORA,7,77,,78,,1,440,0.4,0.4,,1984,370,9,2016960665,652,715,10003228,2017,Adora,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3759
113,ADDIRIM,2,23,234,8,,1,277,0.3,0.3,,1956,310,1,2257971719,71,204,10000911,2017,Addirim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=113
1068,ADAMIT,2,24,244,4,,1,199,0.2,0.2,,1958,330,15,2199777600,449,201,10004302,2017,Adamit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1068
1123,ADDERET,1,11,112,26,444,1,919,0.9,0.9,,1961,310,1,1995861869,433,151,15000597,2017,Adderet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1123
446,UDIM,4,41,411,19,141,1,1367,1.4,1.3,,1948,310,10,1858268581,12,401,15000060,2017,Udim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=446
4010,ODEM,2,29,292,71,,1,131,0.1,0.1,,1976,320,6,2702878880,1050,219,10004579,2017,Odem,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4010
1046,OHAD,6,62,622,38,,1,408,0.4,0.4,,1969,310,1,1458057199,131,651,10001893,2017,Ohad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1046
2710,UMM AL-FAHM,3,32,323,0,,2,54240,,,54.2,,250,,2145171399,310,354,10004249,2017,Umm al-Fahm,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2710
2024,UMM AL-QUTUF,3,32,323,14,,2,1071,,,1.1,,450,,2055370835,138,351,10004233,2017,Umm Al-Qutuf,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2024
1358,UMM BATIN,6,62,623,69,342,2,3443,,,3.4,,290,,1886757656,329,624,10001937,2017,Umm Batin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1358
1108,OMEN,2,23,234,8,,1,355,0.4,0.3,,1958,350,,2230271878,65,204,10000911,2017,Omen,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1108
680,OMEZ,4,41,412,16,141,1,795,0.8,0.8,,1949,310,1,1996969743,33,409,15000060,2017,Omez,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=680
31,OFAQIM,6,62,622,0,,1,27771,27.6,25.8,,1955,160,,1638657982,141,601,10001893,2017,Ofaqim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=31
1294,OR HAGANUZ,2,21,212,2,,1,539,0.5,0.5,,1989,320,11,2421276781,732,209,10004528,2017,Or HaGanuz,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1294
67,OR HANER,6,61,614,37,,1,733,0.7,0.7,,1957,330,15,1620260736,56,651,10001829,2017,Or HaNer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=67
2400,OR YEHUDA,5,52,512,0,122,1,36706,36.6,35.9,,1950,160,,1863265962,29,510,10001516,2017,Or Yehuda,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2400
1020,OR AQIVA,3,32,324,0,,1,17759,17.7,16.4,,1951,170,,1927371262,15,353,10004261,2017,Or Aqiva,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1020
780,ORA,1,11,111,26,444,1,1388,1.4,1.3,,1950,310,1,2145762903,804,151,10002521,2017,Ora,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=780
1771, ,6,62,626,48,,,,,,,,520,,2014453557,,620,10001918,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1771
2012,OROT,6,61,611,33,143,1,515,0.5,0.5,,1952,310,1,1749262782,50,616,10001821,2017,Orot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2012
4013,ORTAL,2,29,292,71,,1,352,0.4,0.4,,1978,330,15,2712077700,885,219,10004579,2017,Ortal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4013
403,URIM,6,62,622,38,,1,475,0.5,0.4,,1946,330,15,1545457936,94,651,10001893,2017,Urim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=403
882,ORANIM,3,31,311,12,222,1,182,0.1,0.1,,1951,340,,2104973529,75,301,10004207,2017,Oranim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=882
3760,ORANIT,7,73,,99,145,1,8655,8.6,8.5,,1985,180,,1995467087,125,718,10003262,2017,Oranit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3760
278,USHA,3,31,311,12,222,1,483,0.5,0.5,,1937,330,15,2110474459,31,301,10004207,2017,Usha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=278
565,AZOR,5,53,513,99,123,1,12701,12.7,12,,1948,170,,1819365900,25,509,10001430,2017,Azor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=565
1852,,2,24,244,4,,,,,,,,530,,2196077510,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1852
1851,,2,24,244,52,,,,,,,,530,,2266077360,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1851
1853,,2,24,244,,,,,,,,,530,,2314076950,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1853
1922,,6,61,613,29,,,,,,,,530,,1726063970,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1922
1921,,6,61,613,33,,,,,,,,530,,1649062930,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1921
1923,,6,61,613,,,,,,,,,530,,1681064050,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1923
1924,,6,61,614,36,,,,,,,,530,,1663061620,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1924
1926,,6,61,614,37,,,,,,,,530,,1637060210,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1926
1937,,6,62,623,41,,,,,,,,530,,1807058120,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1937
1938,,6,62,623,51,,,,,,,,530,,2240057100,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1938
1939,,6,62,623,,,,,,,,,530,,1974056740,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1939
1933,,6,62,622,38,,,,,,,,530,,1457057060,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1933
1935,,6,62,622,39,,,,,,,,530,,1505059540,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1935
1934,,6,62,622,42,,,,,,,,530,,1608057600,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1934
1907,,5,51,511,19,,,,,,,,530,,,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1907
1931,,6,62,621,39,,,,,,,,530,,1572058820,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1931
1929,,6,62,621,41,,,,,,,,530,,1725058920,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1929
1930,,6,62,621,42,,,,,,,,530,,1679059410,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1930
1866,,3,32,322,15,,,,,,,,530,,2001072840,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1866
1867,,3,32,322,,,,,,,,,530,,2040072880,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1867
1873,,3,32,324,14,,,,,,,,530,,2012070620,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1873
1872,,3,32,324,15,,,,,,,,530,,1932070920,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1872
1871,,3,32,324,45,,,,,,,,530,,1999071630,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1871
1874,,3,32,324,,,,,,,,,530,,2029069980,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1874
1909,,5,53,513,,,,,,,,,530,,1817066000,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1909
1860,,3,31,311,12,,,,,,,,530,,2104074200,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1860
1862,,3,31,311,,,,,,,,,530,,2088073220,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1862
1813,,2,21,213,1,,,,,,,,530,,2545075990,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1813
1814,,2,21,213,55,,,,,,,,530,,2584076640,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1814
1815,,2,21,213,,,,,,,,,530,,2549076740,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1815
1848,,2,24,243,2,,,,,,,,530,,2386075990,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1848
1846,,2,24,243,4,,,,,,,,530,,2180076770,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1846
1847,,2,24,243,52,,,,,,,,530,,2283076610,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1847
1849,,2,24,243,56,,,,,,,,530,,2214075970,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1849
1850,,2,24,243,,,,,,,,,530,,2325076540,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1850
1942,,6,62,624,51,,,,,,,,530,,2340056200,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1942
1836,,2,23,235,13,,,,,,,,530,,2121072800,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1836
1835,,2,23,235,9,,,,,,,,530,,2115073310,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1835
1805,,2,22,221,3,,,,,,,,530,,2481074680,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1805
1816,,2,22,221,1,,,,,,,,530,,2528075660,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1816
1817,,2,22,221,6,,,,,,,,530,,2610074110,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1817
1818,,2,22,221,,,,,,,,,530,,0,0,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1818
1843,,2,24,242,2,,,,,,,,530,,2339075980,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1843
1844,,2,24,242,56,,,,,,,,530,,2327075530,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1844
1845,,2,24,242,,,,,,,,,530,,2369075930,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1845
1919,,6,61,612,34,,,,,,,,530,,1769061100,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1919
1917,,6,61,612,35,,,,,,,,530,,1870061370,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1917
1920,,6,61,612,41,,,,,,,,530,,1888059260,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1920
1918,,6,61,612,50,,,,,,,,530,,1836060440,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1918
1887,,4,43,431,25,,,,,,,,530,,2311074610,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1887
1890,,4,43,431,30,,,,,,,,530,,2010069770,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1890
1895,,4,43,431,,,,,,,,,530,,1833067310,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1895
1911,,6,61,611,33,,,,,,,,530,,1755063200,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1911
1915,,6,61,611,34,,,,,,,,530,,1766062160,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1915
1913,,6,61,611,35,,,,,,,,530,,1816062200,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1913
1914,,6,61,611,50,,,,,,,,530,,1780061800,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1914
1855,,2,24,245,4,,,,,,,,530,,2125076910,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1855
1856,,2,24,245,,,,,,,,,530,,2131076190,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1856
1858,,2,24,246,4,,,,,,,,530,,2128075480,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1858
1857,,2,24,246,56,,,,,,,,530,,2128075670,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1857
1859,,2,24,246,,,,,,,,,530,,2127075860,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1859
1888,,4,42,422,20,,,,,,,,530,,1933066570,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1888
1886,,4,42,422,25,,,,,,,,530,,1984065740,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1886
1889,,4,42,422,,,,,,,,,530,,1921066200,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1889
1903,,4,44,442,27,,,,,,,,530,,1753064760,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1903
1904,,4,44,442,,,,,,,,,530,,1755065150,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1904
1896,,4,44,441,28,,,,,,,,530,,1803064000,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1896
1899,,4,44,441,29,,,,,,,,530,,1721063800,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1899
1898,,4,44,441,30,,,,,,,,530,,1843064140,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1898
1901,,4,44,441,31,,,,,,,,530,,1832063450,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1901
1897,,4,44,441,32,,,,,,,,530,,1745063800,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1897
1902,,4,44,441,,,,,,,,,530,,1721064500,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1902
1892,,4,43,432,25,,,,,,,,530,,0,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1892
1891,,4,43,432,30,,,,,,,,530,,1891064330,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1891
1893,,4,43,432,40,,,,,,,,530,,1865065340,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1893
1894,,4,43,432,,,,,,,,,530,,1850065140,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1894
1908,,5,52,512,,,,,,,,,530,,1864066110,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1908
1841,,2,24,241,56,,,,,,,,530,,2266075010,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1841
1840,,2,24,241,9,,,,,,,,530,,2179074200,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1840
1842,,2,24,241,56,,,,,,,,530,,2183074930,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1842
1905,,5,51,511,,,,,,,,,530,,0,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1905
1724, ,2,24,241,56,241,,,,,,,520,,2258875249,,205,10004513,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1724
1865,,2,23,234,9,,,,,,,,530,,2325072360,,,,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1865
1726, ,2,24,245,4,241,,,,,,,520,,2105277464,,201,10004302,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1726
1727, ,2,24,246,4,241,,,,,,,520,,2091475413,,201,10004315,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1727
1157,AHAWA,6,61,611,33,143,1,293,0.3,0.3,,1976,350,,1782062796,61,616,10001821,2017,Ahawa,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1157
821,AHUZZAM,6,61,612,50,,1,539,0.5,0.5,,1950,310,2,1782260687,169,634,10001813,2017,Ahuzzam,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=821
1330,AHUZZAT BARAQ,2,23,234,9,,1,2208,2.2,2.1,,1998,190,,2320072762,159,254,10000911,2017,Ahuzzat Baraq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1330
785,AHIHUD,2,24,246,4,241,1,859,0.9,0.9,,1950,310,1,2165275698,49,201,10004315,2017,Ahihud,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=785
850,AHITUV,4,41,412,16,141,1,1091,1.1,1.1,,1951,310,1,1993269934,42,409,15000060,2017,Ahituv,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=850
804,AHISAMAKH,4,43,432,25,142,1,1382,1.4,1.4,,1950,310,1,1914164918,69,424,10002261,2017,Ahisamakh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=804
797,AHI'EZER,4,43,432,40,133,1,1782,1.8,1.8,,1950,310,2,1879665440,40,425,10002261,2017,Ahi'ezer,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=797
965,ATRASH,6,62,623,,,3,,,,,,460,,1940057520,,699,10001937,2017,Atrash,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=965
338,IBBIM,6,61,614,37,,1,379,0.4,0.1,,1991,340,,1629760477,84,651,10001829,2017,Ibbim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=338
716,EYAL,4,42,421,20,141,1,506,0.5,0.5,,1949,330,15,1982567982,76,417,10002155,2017,Eyal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=716
77,AYYELET HASHAHAR,2,21,211,1,,1,1161,1.2,1.1,,1918,330,15,2541976987,173,253,10004540,2017,Ayyelet HaShahar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=77
294,ELON,2,24,244,4,,1,980,1,0.9,,1938,330,15,2206177423,293,201,10004302,2017,Elon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=294
1716, ,2,23,234,9,,,,,,,,520,,2343272676,,254,10004394,2017,,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1716
1126,ELOT,6,62,625,53,,1,322,0.3,0.3,,1962,330,15,1960538819,73,608,10001955,2017,Elot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1126
49,ILANIYYA,2,22,222,3,,1,487,0.5,0.5,,1902,310,10,2384773998,239,206,10004552,2017,Ilaniyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=49
2600,ELAT,6,62,625,0,,1,50724,48.6,41.4,,1951,150,,1941738510,164,602,10001955,2017,Elat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2600
1336,IRUS,4,44,442,27,143,1,478,0.5,0.5,,2013,370,,1790164853,46,456,15002488,2017,Irus,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1336
3762,ITAMAR,7,72,,72,,1,1199,1.2,1.2,,1984,370,11,2292167559,613,710,10003262,2017,Itamar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3762
37,ETAN,6,61,612,34,,1,449,0.4,0.4,,1955,310,2,1761460898,156,631,10001813,2017,Etan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=37
886,ETANIM,1,11,111,26,444,1,72,0.1,0.1,,1952,340,,2091163181,765,151,15000597,2017,Etanim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=886
478,IKSAL,2,23,237,99,,2,14245,,,14.2,,270,,2307173191,125,257,10000911,2017,Iksal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=478
1339,AL-AZY,6,61,611,35,,2,187,,,0.2,,450,,1809962556,93,632,10001821,2017,Al-Azy,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1339
1316,AL-ARYAN,3,32,323,14,,2,188,,,0.2,,450,,2120271154,367,351,10004233,2017,Al-Aryan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1316
4003,EL-ROM,2,29,292,71,,1,381,0.4,0.4,,1971,330,15,2723178736,1049,219,10004579,2017,El-Rom,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4003
